"No.","Time","Source","Destination","Protocol","Length","Info"
"62","30.854296","","00:08:00:08:00:08:00:08","IEEE 802.15.4","19","Ack, Dst: Multitec_08:00:08:00:08"
"63","30.990000","::202:2:2:2","::201:1:1:1","ICMPv6","85","RPL Control (Destination Advertisement Object)"
"64","30.993752","","00:02:00:02:00:02:00:02","IEEE 802.15.4","19","Ack, Dst: NetSys_02:00:02:00:02"
"65","31.000000","::201:1:1:1","::202:2:2:2","ICMPv6","43","RPL Control (Destination Advertisement Object Acknowledgment)"
"66","31.002408","","00:01:00:01:00:01:00:01","IEEE 802.15.4","19","Ack, Dst: EquipTra_01:00:01:00:01"
"67","33.060000","::208:8:8:8","::201:1:1:1","ICMPv6","93","RPL Control (Destination Advertisement Object)"
"68","33.064008","","00:08:00:08:00:08:00:08","IEEE 802.15.4","19","Ack, Dst: Multitec_08:00:08:00:08"
"69","33.200000","::208:8:8:8","::201:1:1:1","ICMPv6","94","RPL Control (Destination Advertisement Object)"
"70","33.200000","fe80::203:3:3:3","fe80::201:1:1:1","ICMPv6","102","RPL Control (DODAG Information Object)"
"71","33.370000","::208:8:8:8","::201:1:1:1","ICMPv6","94","RPL Control (Destination Advertisement Object)"
"72","33.370000","fe80::203:3:3:3","fe80::201:1:1:1","ICMPv6","102","RPL Control (DODAG Information Object)"
"73","33.480000","fe80::202:2:2:2","ff02::1a","ICMPv6","96","RPL Control (DODAG Information Object)"
"74","33.540000","::208:8:8:8","::201:1:1:1","ICMPv6","94","RPL Control (Destination Advertisement Object)"
"75","33.544040","","00:04:00:04:00:04:00:04","IEEE 802.15.4","19","Ack, Dst: LexmarkP_04:00:04:00:04"
"76","33.580000","00:02:00:02:00:02:00:02","Broadcast","IEEE 802.15.4","37","Enhanced Beacon, Dst: Broadcast, Src: NetSys_02:00:02:00:02"
"77","33.600000","00:04:00:04:00:04:00:04","Broadcast","IEEE 802.15.4","37","Enhanced Beacon, Dst: Broadcast, Src: LexmarkP_04:00:04:00:04"
"78","33.610000","00:05:00:05:00:05:00:05","Broadcast","IEEE 802.15.4","37","Enhanced Beacon, Dst: Broadcast, Src: Cisco_05:00:05:00:05"
"79","33.740000","::201:1:1:1","::208:8:8:8","ICMPv6","51","RPL Control (Destination Advertisement Object Acknowledgment)"
"80","33.742664","","00:01:00:01:00:01:00:01","IEEE 802.15.4","19","Ack, Dst: EquipTra_01:00:01:00:01"
"81","33.780000","::201:1:1:1","::208:8:8:8","ICMPv6","60","RPL Control (Destination Advertisement Object Acknowledgment)"
"82","33.782952","","00:04:00:04:00:04:00:04","IEEE 802.15.4","19","Ack, Dst: LexmarkP_04:00:04:00:04"
"83","33.880000","fe80::203:3:3:3","fe80::201:1:1:1","ICMPv6","102","RPL Control (DODAG Information Object)"
"84","33.884296","","00:03:00:03:00:03:00:03","IEEE 802.15.4","19","Ack, Dst: Barracud_03:00:03:00:03"
"85","35.340000","fe80::201:1:1:1","ff02::1a","ICMPv6","96","RPL Control (DODAG Information Object)"
"86","35.650000","fe80::204:4:4:4","ff02::1a","ICMPv6","96","RPL Control (DODAG Information Object)"
"87","36.890000","fe80::208:8:8:8","ff02::1a","ICMPv6","96","RPL Control (DODAG Information Object)"
"88","37.540000","00:01:00:01:00:01:00:01","Broadcast","IEEE 802.15.4","37","Enhanced Beacon, Dst: Broadcast, Src: EquipTra_01:00:01:00:01"
"89","37.550000","00:02:00:02:00:02:00:02","Broadcast","IEEE 802.15.4","37","Enhanced Beacon, Dst: Broadcast, Src: NetSys_02:00:02:00:02"
"90","37.820000","fe80::205:5:5:5","ff02::1a","ICMPv6","96","RPL Control (DODAG Information Object)"
"91","38.980000","::203:3:3:3","::201:1:1:1","ICMPv6","85","RPL Control (Destination Advertisement Object)"
"92","38.983752","","00:03:00:03:00:03:00:03","IEEE 802.15.4","19","Ack, Dst: Barracud_03:00:03:00:03"
"93","39.000000","::201:1:1:1","::203:3:3:3","ICMPv6","43","RPL Control (Destination Advertisement Object Acknowledgment)"
